Name_Description	GTEX-1117F-0226-SM-5GZZ7	GTEX-1117F-0426-SM-5EGHI	GTEX-1117F-0526-SM-5EGHJ
ENSG00000224536.2_RP11-134G8.7	38	6	22
ENSG00000223396.2_RP11-134G8.5	20	6	10
ENSG00000134369.15_NAV1	7141	908	4191
ENSG00000236390.1_RP11-25B7.1	1	0	0
ENSG00000231871.5_IPO9-AS1	8	2	11
ENSG00000264802.1_MIR5191	0	0	0
ENSG00000235121.1_RP11-90L20.2	6	2	10
ENSG00000200942.1_RNU6-501P	0	0	0
ENSG00000221028.1_MIR1231	0	0	0
ENSG00000198700.9_IPO9	3531	1736	2720
ENSG00000277681.1_MIR6739	0	0	0
ENSG00000198892.6_SHISA4	806	2901	1139
ENSG00000223774.5_RP11-307B6.3	0	1	1
ENSG00000163431.12_LMOD1	9358	1920	51482
ENSG00000134375.10_TIMM17A	1687	1207	1149
ENSG00000206637.1_SNORA70	0	0	0
ENSG00000238003.1_RPL10P4	2	0	1
ENSG00000176393.10_RNPEP	3197	749	1920
ENSG00000273478.1_RP11-465N4.5	220	15	95
ENSG00000234678.1_ELF3-AS1	78	6	41
ENSG00000275207.1_MIR6740	0	0	0
ENSG00000163435.15_ELF3	1157	79	207
ENSG00000249007.1_RP11-510N19.5	5	1	2
ENSG00000232296.1_RP11-510N19.2	0	0	0
ENSG00000235811.1_RP11-510N19.3	0	0	0
ENSG00000212512.2_Y_RNA	0	0	0
ENSG00000227109.1_CRIP1P3	0	0	0
ENSG00000170075.8_GPR37L1	16	7	2
ENSG00000143862.7_ARL8A	2759	2456	2231
ENSG00000143851.15_PTPN7	186	24	126
ENSG00000243323.6_PTPRVP	44	2	20
ENSG00000133067.17_LGR6	69	16	388
ENSG00000077152.9_UBE2T	16	12	10
ENSG00000077157.21_PPP1R12B	10580	6159	23648
ENSG00000229120.2_CYCSP4	0	0	1
ENSG00000272262.1_RNU6-89P	0	0	0
ENSG00000232626.3_RP11-175B9.2	1	9	7
ENSG00000236439.4_RP11-175B9.3	49	30	76
ENSG00000253042.1_SNORA70	0	0	0
ENSG00000143858.11_SYT2	25	18	103
ENSG00000226862.1_RP11-569A11.1	4	2	20
ENSG00000225620.1_RP11-569A11.2	0	4	0
ENSG00000117139.16_KDM5B	4202	552	1657
ENSG00000235449.2_RP11-480I12.2	13	9	5
ENSG00000226148.1_SLC25A39P1	0	4	0
ENSG00000260021.1_RP11-480I12.10	0	1	1
ENSG00000228288.6_PCAT6	311	72	51
ENSG00000184774.9_MGAT4EP	0	0	0
ENSG00000214796.8_RP11-480I12.5	27	2	4
ENSG00000234996.4_RP11-480I12.9	3	0	2
ENSG00000183155.4_RABIF	211	75	129
ENSG00000117153.15_KLHL12	1829	520	1487
ENSG00000230280.2_HNRNPA1P59	8	0	5
ENSG00000199471.1_Y_RNA	0	0	0
ENSG00000159346.12_ADIPOR1	5423	4883	4855
ENSG00000159348.12_CYB5R1	3507	14382	2935
ENSG00000234761.1_RP11-38O14.5	0	0	0
ENSG00000231547.1_RP11-38O14.6	0	0	0
ENSG00000163444.11_TMEM183A	2048	666	2019
ENSG00000143847.15_PPFIA4	1805	323	2407
ENSG00000122180.4_MYOG	1	2172	0
ENSG00000163485.16_ADORA1	260	17	54
ENSG00000234775.1_RP11-335O13.7	0	0	0
ENSG00000224671.2_RP11-335O13.8	0	0	0
ENSG00000133055.8_MYBPH	4	406	18
ENSG00000133048.12_CHI3L1	843	609	2801
ENSG00000133063.15_CHIT1	10	73	17
ENSG00000236523.2_NPM1P40	3	0	1
ENSG00000231507.1_LINC01353	3	19	10
ENSG00000233791.5_LINC01136	7	27	4
ENSG00000159388.5_BTG2	5652	8974	24151
ENSG00000202300.1_RNU6-487P	0	1	1
ENSG00000122176.10_FMOD	6762	131	19133
ENSG00000229652.1_RP11-435P24.2	0	0	0
ENSG00000271588.1_LARP7P1	0	0	0
ENSG00000188783.5_PRELP	58001	4665	81081
ENSG00000188770.9_OPTC	12	0	11
ENSG00000058668.14_ATP2B4	5068	985	6690
ENSG00000236035.2_RP11-90O23.1	0	0	2
ENSG00000221643.1_SNORA77	0	0	2
ENSG00000122188.12_LAX1	88	0	41
ENSG00000058673.16_ZC3H11A	17	12	17
ENSG00000257315.2_ZBED6	26	9	18
ENSG00000227417.3_RP11-397P13.6	4	2	6
ENSG00000223505.2_RP11-397P13.7	13	1	6
ENSG00000182004.12_SNRPE	1844	1131	1480
ENSG00000236430.1_KRT8P29	0	1	0
ENSG00000232917.5_HSPE1P6	0	0	0
ENSG00000237379.1_CBX1P3	0	0	1
ENSG00000176754.12_LINC00303	10	0	8
ENSG00000143842.14_SOX13	5146	3501	6560
ENSG00000143845.14_ETNK2	1170	63	1662
ENSG00000230550.1_RP11-74C13.3	1	0	1
ENSG00000143839.14_REN	5	2	6
ENSG00000225522.2_RP11-203F10.1	0	0	0
ENSG00000170498.8_KISS1	1	0	0
ENSG00000174567.7_GOLT1A	26	12	1
ENSG00000143850.13_PLEKHA6	509	464	1006
ENSG00000231691.1_RP11-203F10.5	1	2	3
ENSG00000219133.2_RP11-203F10.6	4	1	9
ENSG00000280924.1_LINC00628	2	0	0
ENSG00000226330.1_RP11-739N20.2	5	0	3
ENSG00000237848.1_RP11-739N20.3	0	0	0
ENSG00000158615.8_PPP1R15B	3087	1566	2608
ENSG00000133056.13_PIK3C2B	1803	489	1553
ENSG00000198625.12_MDM4	4387	1990	3742
ENSG00000236779.1_RP11-430C7.2	2	0	0
ENSG00000200408.1_RNA5SP74	0	0	0
ENSG00000240710.1_RP11-430C7.4	4	0	5
ENSG00000170382.11_LRRN2	82	86	52
ENSG00000240219.1_RP11-430C7.5	55	28	25
ENSG00000228153.1_RP11-23I7.1	0	0	1
ENSG00000252650.1_RNA5SP75	0	0	0
ENSG00000251861.1_SCARNA20	0	0	0
ENSG00000163531.15_NFASC	520	209	4221
ENSG00000229657.2_RP11-494K3.2	0	0	11
ENSG00000184144.11_CNTN2	41	1	36
ENSG00000174529.7_TMEM81	41	23	61
ENSG00000117222.13_RBBP5	893	545	842
ENSG00000271580.1_RP11-536L3.4	32	10	22
ENSG00000236108.1_RP11-383G10.1	0	0	0
ENSG00000133059.16_DSTYK	1599	968	1204
ENSG00000213041.4_RP11-383G10.3	0	3	0
ENSG00000133069.15_TMCC2	133	1099	76
ENSG00000225063.1_RP11-383G10.5	0	0	0
ENSG00000163545.8_NUAK2	166	83	114
ENSG00000162873.14_KLHDC8A	8	5	74
ENSG00000235363.1_SNRPGP10	30	41	48
ENSG00000226235.1_LEMD1-AS1	1	4	2
ENSG00000186007.9_LEMD1	0	4	2
ENSG00000281406.1_BLACAT1	8	2	4
ENSG00000199059.3_MIR135B	0	0	0
ENSG00000224717.1_RP11-576D8.4	4	0	0
ENSG00000117266.15_CDK18	256	282	6991
ENSG00000253097.1_RNU2-19P	0	0	2
ENSG00000174514.12_MFSD4A	1251	174	2305
ENSG00000206762.1_RNU6-418P	7	0	3
ENSG00000158711.13_ELK4	4014	1940	2950
ENSG00000236942.1_RP11-6B6.3	0	5	3
ENSG00000158715.5_SLC45A3	419	410	66
ENSG00000275213.1_Metazoa_SRP	0	0	0
ENSG00000069275.12_NUCKS1	8898	7600	11981
ENSG00000201944.1_SNORA72	2	1	3
ENSG00000117280.12_RAB29	813	63	435
ENSG00000133065.10_SLC41A1	2401	5647	3622
ENSG00000162877.12_PM20D1	59	1	14
ENSG00000174502.18_SLC26A9	41	158	11
ENSG00000227687.1_RP4-681L3.2	0	0	0
ENSG00000276600.4_RAB7B	290	14	28
ENSG00000196188.10_CTSE	4	11	3
ENSG00000263961.6_C1orf186	375	3	12
ENSG00000252692.1_SNORD60	0	0	0
ENSG00000198049.6_AVPR1B	0	0	2
ENSG00000226780.1_RP11-38J22.3	0	0	0
ENSG00000225483.1_RP11-38J22.2	0	0	0
ENSG00000236889.1_RP11-38J22.1	0	0	0
ENSG00000196550.10_FAM72A	80	16	41
ENSG00000266028.7_SRGAP2	4729	611	2077
ENSG00000229509.1_RP11-421E17.4	0	0	0
ENSG00000263528.7_IKBKE	318	16	53
ENSG00000278465.1_MIR6769B	0	0	0
ENSG00000162888.4_C1orf147	33	0	2
ENSG00000261000.1_RP11-534L20.5	0	0	0
ENSG00000266094.7_RASSF5	1486	80	709
ENSG00000234981.1_RP11-534L20.4	2	2	1
ENSG00000279946.1_CH17-76K2.6	6	1	0
ENSG00000143486.15_EIF2D	1555	1396	2125
ENSG00000237605.1_RP11-343H5.6	0	0	1
ENSG00000143479.15_DYRK3	290	35	207
ENSG00000162889.10_MAPKAPK2	7273	11997	7649
ENSG00000224114.1_RP11-343H5.4	8	28	16
ENSG00000199349.1_Y_RNA	0	0	0
ENSG00000284486.1_RP11-262N9.3	0	0	0
ENSG00000136634.5_IL10	6	0	0
ENSG00000142224.15_IL19	5	0	0
ENSG00000162891.10_IL20	14	0	0
ENSG00000162892.15_IL24	25	80	49
ENSG00000162894.11_FCMR	117	320	220
ENSG00000271680.1_RP11-564A8.8	4	0	6
ENSG00000226945.1_RP11-564A8.4	5	5	5
ENSG00000162896.5_PIGR	163	36	34
ENSG00000162897.14_FCAMR	0	2	0
ENSG00000182795.12_C1orf116	349	109	23
ENSG00000123836.14_PFKFB2	1096	6216	810
ENSG00000180667.10_YOD1	1285	946	670
ENSG00000123843.12_C4BPB	44	11	6
ENSG00000123838.10_C4BPA	18	5	7
ENSG00000275392.1_RP11-164O23.8	4	0	0
ENSG00000226565.2_RP11-164O23.5	0	0	0
ENSG00000224462.2_C4BPAP1	0	0	0
ENSG00000243636.1_RP11-164O23.7	0	0	0
ENSG00000232621.1_C4BPAP2	0	0	0
ENSG00000237074.2_RP11-6J21.2	1	1	0
ENSG00000196352.14_CD55	4237	23171	1395
ENSG00000274245.1_RP11-357P18.2	17	14	5
ENSG00000283044.1_RP11-357P18.3	0	0	1
ENSG00000117322.17_CR2	174	130	28
ENSG00000203710.10_CR1	478	29	96
ENSG00000236911.6_RP11-78B10.2	1	0	0
ENSG00000197721.16_CR1L	3	0	2
ENSG00000244703.3_CD46P1	0	0	0
ENSG00000226289.1_CDCA4P3	0	0	0
ENSG00000274059.1_5S_rRNA	0	0	0
ENSG00000117335.19_CD46	13286	3018	11241
ENSG00000234219.1_CDCA4P4	11	2	10
ENSG00000203709.11_C1orf132	279	2037	787
ENSG00000174059.16_CD34	9548	4576	3322
ENSG00000284237.1_RP11-328D5.4	317	88	59
ENSG00000076356.6_PLXNA2	2777	2602	2242
ENSG00000226843.1_RP11-2P2.1	0	0	0
ENSG00000261453.1_LINC01735	0	0	0
ENSG00000259815.1_RP11-565N2.2	0	0	0
ENSG00000227887.1_RPS26P13	2	0	3
ENSG00000232812.1_LINC01717	0	0	0
ENSG00000236950.1_LINC01774	0	0	0
ENSG00000278684.1_RP5-1051D14.2	0	0	0
ENSG00000232537.1_RP11-385M4.1	0	0	0
ENSG00000228081.2_RP11-385M4.2	0	0	0
ENSG00000224540.1_RP11-385M4.3	0	0	0
ENSG00000225712.1_ATP5G2P1	2	1	1
ENSG00000227940.1_LINC01696	0	0	0
ENSG00000231648.1_LINC01698	0	0	0
ENSG00000230937.11_MIR205HG	195	20	41
ENSG00000284485.1_MIR205	0	0	0
ENSG00000224260.6_RP1-272L16.1	0	0	2
ENSG00000008118.9_CAMK1G	9	4	4
ENSG00000196878.14_LAMB3	971	36	89
ENSG00000283876.1_MIR4260	0	0	0
ENSG00000227591.5_RP1-28O10.1	148	43	18
ENSG00000123689.5_G0S2	9368	39	167
ENSG00000117594.9_HSD11B1	588	19	496
ENSG00000236136.1_ADORA2BP1	16	0	10
ENSG00000009790.14_TRAF3IP3	248	46	190
ENSG00000162757.4_C1orf74	184	34	59
ENSG00000117595.10_IRF6	888	46	128
ENSG00000117597.17_DIEXF	1006	516	777
ENSG00000143469.18_SYT14	4	2	3
ENSG00000203706.8_SERTAD4-AS1	56	13	101
ENSG00000082497.11_SERTAD4	260	12	65
ENSG00000228110.4_ST13P19	2	11	6
ENSG00000233455.2_RP4-667H12.4	0	0	0
ENSG00000054392.12_HHAT	44	10	27
ENSG00000200972.1_RNU5A-8P	0	0	0
ENSG00000270936.1_RP5-879K22.1	0	0	0
ENSG00000143473.12_KCNH1	11	6	7
ENSG00000224668.1_IPO8P1	5	2	0
ENSG00000284376.1_RP11-543B16.3	0	0	0
ENSG00000234233.1_KCNH1-IT1	1	2	2
ENSG00000234004.4_RP11-543B16.1	5	3	4
ENSG00000226986.4_RP11-543B16.2	1	2	2
ENSG00000117625.13_RCOR3	4562	2983	3616
ENSG00000082512.14_TRAF5	5085	365	4243
ENSG00000153363.12_LINC00467	394	101	167
ENSG00000236809.2_SNX25P1	8	0	2
ENSG00000238137.2_ARPC3P2	2	2	0
ENSG00000198570.5_RD3	0	0	0
ENSG00000170385.9_SLC30A1	2378	232	1116
ENSG00000261314.1_RP11-359E8.5	2	0	0
ENSG00000228792.2_RP11-354K1.2	0	0	0
ENSG00000227764.1_LINC01693	0	0	0
ENSG00000117650.12_NEK2	6	5	0
ENSG00000224763.1_FDPSP8	0	0	0
ENSG00000231057.3_RP11-122M14.1	0	0	0
ENSG00000226868.1_RP11-122M14.3	0	0	0
ENSG00000123684.12_LPGAT1	2474	1205	2390
ENSG00000241395.3_RN7SL344P	0	0	0
ENSG00000212205.1_Y_RNA	1	0	0
ENSG00000229258.5_RP11-552D8.1	0	0	0
ENSG00000233626.2_RP11-565J7.1	0	0	1
ENSG00000143493.12_INTS7	94	30	85
ENSG00000212187.1_SNORA26	0	0	0
ENSG00000143476.17_DTL	14	16	12
ENSG00000220749.4_RPL21P28	22	16	35
ENSG00000264358.1_MIR3122	0	0	0
ENSG00000252879.1_RN7SKP98	0	0	0
ENSG00000229983.1_RP11-15I11.2	0	0	0
ENSG00000226251.5_RP11-15I11.3	1	60	0
ENSG00000066027.11_PPP2R5A	3406	1862	3605
ENSG00000230063.1_RP11-384C4.6	0	0	0
ENSG00000234915.1_RP11-384C4.7	0	0	0
ENSG00000225338.1_RPL23AP18	6	3	3
ENSG00000201544.1_SNORA16B	7	0	2
ENSG00000229832.1_RP11-384C4.2	11	6	5
ENSG00000065600.12_TMEM206	119	41	76
ENSG00000117691.9_NENF	3085	2265	2505
ENSG00000224535.1_RP11-61J19.2	0	0	0
ENSG00000228067.1_LINC01740	1	0	0
ENSG00000260805.2_RP11-61J19.5	43	12	18
ENSG00000162772.16_ATF3	2361	624	5606
ENSG00000235862.2_RP11-338C15.5	1	0	2
ENSG00000162771.7_FAM71A	2	0	1
ENSG00000226036.1_RP11-338C15.2	0	0	2
ENSG00000237980.1_RP11-338C15.3	8	2	2
ENSG00000123685.8_BATF3	274	19	130
ENSG00000117697.14_NSL1	506	191	459
ENSG00000203705.10_TATDN3	709	946	636
ENSG00000236905.2_RP11-348H3.2	0	2	0
ENSG00000185523.6_SPATA45	5	1	1
ENSG00000198468.7_FLVCR1-AS1	64	32	37
ENSG00000236317.1_RP11-348H3.5	0	0	0
ENSG00000162769.12_FLVCR1	945	140	644
ENSG00000282718.1_RP11-348H3.8	0	0	0
ENSG00000143494.15_VASH2	157	5	37
ENSG00000174606.13_ANGEL2	2919	842	2087
ENSG00000136643.11_RPS6KC1	806	579	729
ENSG00000228646.3_RPL31P13	0	0	0
ENSG00000225233.1_RP11-554K11.2	0	0	0
ENSG00000228255.1_RP11-323I1.1	0	0	0
ENSG00000230461.8_PROX1-AS1	145	16	10
ENSG00000281664.1_LINC00538	0	0	0
ENSG00000117707.15_PROX1	1929	498	92
ENSG00000274895.1_RP11-478J18.2	11	18	2
ENSG00000272167.2_PROX1-AS1	6	4	0
ENSG00000283518.1_RP11-53A1.3	0	0	0
ENSG00000143499.13_SMYD2	886	3280	262
ENSG00000228470.1_RP11-176D17.3	2	0	0
ENSG00000152104.11_PTPN14	2091	2146	2998
ENSG00000213036.3_RP11-365D23.4	5	0	4
ENSG00000215819.3_KRT18P12	0	0	0
ENSG00000117724.12_CENPF	36	20	20
ENSG00000250536.1_ABHD17AP3	0	4	2
ENSG00000224584.2_UBE2V1P13	0	0	0
ENSG00000185221.6_GAPDHP24	0	0	0
ENSG00000223869.1_RP11-323K10.1	0	0	0
ENSG00000082482.13_KCNK2	374	39	424
ENSG00000232809.1_VDAC1P10	0	0	0
ENSG00000282265.1_RP11-199H2.2	0	0	0
ENSG00000136636.12_KCTD3	4726	832	3113
ENSG00000042781.12_USH2A	20	4	23
ENSG00000202498.1_SNORD116	0	0	0
ENSG00000229242.1_RP5-1111A8.3	0	0	0
ENSG00000233620.5_RP11-22M7.2	0	0	0
ENSG00000236292.1_RP5-1099E6.3	0	0	0
ENSG00000226013.1_MRPS18BP1	0	0	0
ENSG00000196482.16_ESRRG	92	99	0
ENSG00000092978.10_GPATCH2	912	233	814
ENSG00000162814.10_SPATA17	8	4	6
ENSG00000234070.1_SPATA17-AS1	0	0	0
ENSG00000228247.1_UBBP2	0	1	0
ENSG00000231814.2_LINC00210	0	2	0
ENSG00000230714.1_RP11-152L7.1	0	0	0
ENSG00000232100.1_LINC01653	0	0	0
ENSG00000201493.1_RNU1-141P	0	0	0
ENSG00000067533.5_RRP15	919	750	640
ENSG00000229016.1_RP11-224O19.4	0	0	0
ENSG00000223375.1_RP11-224O19.5	2	0	0
ENSG00000232480.1_TGFB2-AS1	0	5	0
ENSG00000092969.11_TGFB2	405	115	204
ENSG00000228208.6_C1orf143	4	0	0
ENSG00000212610.2_U3	0	0	0
ENSG00000226693.1_NXNP1	0	0	0
ENSG00000225561.1_LINC01710	0	0	1
ENSG00000228063.1_LYPLAL1-AS1	2	0	9
ENSG00000143353.11_LYPLAL1	1010	559	523
ENSG00000225920.2_RIMKLBP2	73	12	45
ENSG00000223842.1_RP11-135J2.3	3	0	6
ENSG00000277007.1_RP11-392O17.2	34	60	8
ENSG00000228536.2_RP11-392O17.1	40	0	0
ENSG00000238232.1_RP11-95P13.2	0	0	0
ENSG00000215817.5_ZC3H11B	3	4	14
ENSG00000196660.10_SLC30A10	10	0	0
ENSG00000252086.1_RNA5SP76	0	0	0
ENSG00000221673.2_U3	0	0	0
ENSG00000136628.17_EPRS	3616	3939	2963
ENSG00000162813.17_BPNT1	339	87	264
ENSG00000067704.9_IARS2	4850	2445	4304
ENSG00000207590.1_MIR215	1	0	0
ENSG00000207624.1_MIR194-1	0	0	0
ENSG00000232134.1_RPS15AP12	10	6	14
ENSG00000118873.15_RAB3GAP2	1982	1212	2894
ENSG00000281696.1_MIR664A	0	0	0
ENSG00000222370.1_SNORA36B	0	0	0
ENSG00000270585.1_RP11-568G11.4	14	0	7
ENSG00000270708.1_RP11-568G11.5	0	0	0
ENSG00000218283.2_MORF4L1P1	584	567	1103
ENSG00000213033.4_AURKAPS1	1	1	2
ENSG00000230318.2_XRCC6P3	1	0	2
ENSG00000232883.1_RP11-302I18.1	4	7	6
ENSG00000226927.1_RP11-302I18.3	0	0	0
ENSG00000260505.1_RP11-410C4.5	0	0	0
ENSG00000235163.2_RP11-410C4.1	0	0	0
ENSG00000234863.1_RP11-410C4.2	0	0	0
ENSG00000226226.1_PRELID3BP1	0	0	0
ENSG00000231529.1_RP11-410C4.4	0	0	0
ENSG00000116141.15_MARK1	631	125	1438
ENSG00000243872.3_RN7SL464P	2	0	0
ENSG00000233012.2_HDAC1P2	19	4	30
ENSG00000162817.6_C1orf115	1273	385	984
ENSG00000117791.15_MARC2	635	333	752
ENSG00000186205.12_MARC1	961	412	359
ENSG00000221571.3_RNU6ATAC35P	2	0	1
ENSG00000272823.1_RP11-295M18.6	49	59	30
ENSG00000238078.1_LINC01352	27	24	28
ENSG00000257551.1_HLX-AS1	9	12	7
ENSG00000136630.12_HLX	1696	481	535
ENSG00000226211.1_RP11-453O22.1	0	0	0
ENSG00000234754.1_C1orf140	34	4	102
ENSG00000232436.1_RP11-103C3.1	0	0	0
ENSG00000227585.2_RP11-103C3.2	0	0	0
ENSG00000143507.17_DUSP10	345	546	149
ENSG00000227925.1_LINC01655	12	2	0
ENSG00000200033.1_RNU6-403P	0	0	0
ENSG00000238042.5_RP11-815M8.1	26	0	0
ENSG00000228437.5_RP11-400N13.2	1	0	0
ENSG00000232679.1_LINC01705	2	0	0
ENSG00000236230.1_RP11-400N13.1	0	0	0
ENSG00000227613.1_QRSL1P2	1	0	0
ENSG00000226643.2_RP11-358H9.1	0	0	0
ENSG00000234419.1_CICP13	0	0	0
ENSG00000276997.4_RP11-378J18.9	22	16	20
ENSG00000222399.1_RNU6-791P	0	0	0
ENSG00000267305.2_RP11-378J18.10	0	0	0
ENSG00000143512.12_HHIPL2	18	0	11
ENSG00000143498.17_TAF1A	146	23	94
ENSG00000225265.1_TAF1A-AS1	17	2	10
ENSG00000154305.16_MIA3	4004	2447	3420
ENSG00000229399.1_RP11-378J18.6	12	6	15
ENSG00000272750.1_RP11-378J18.8	172	20	154
ENSG00000186063.12_AIDA	1812	295	1959
ENSG00000162819.11_BROX	2224	1808	1798
ENSG00000197520.10_FAM177B	0	1	10
ENSG00000228106.5_RP11-452F19.3	167	24	101
ENSG00000154309.8_DISP1	588	71	210
ENSG00000234523.1_NDUFB1P2	0	0	0
ENSG00000187554.11_TLR5	259	9	39
ENSG00000236846.1_RP11-239E10.2	0	0	0
ENSG00000226601.1_RP11-239E10.3	0	0	0
ENSG00000143502.14_SUSD4	65	22	17
ENSG00000251789.2_RNU4-57P	0	0	0
ENSG00000178395.6_CCDC185	8	0	0
ENSG00000203697.11_CAPN8	26	172	1
ENSG00000227002.2_SNRPEP10	0	0	0
ENSG00000212398.1_RNU6-1248P	0	0	0
ENSG00000162909.17_CAPN2	25716	9781	17008
ENSG00000143514.16_TP53BP2	2751	1328	3135
ENSG00000227621.1_PHBP11	0	6	3
ENSG00000188460.4_ACTBP11	5	6	5
ENSG00000233771.2_CICP5	0	0	0
ENSG00000272645.3_GTF2IP20	1169	693	773
ENSG00000212157.1_RNU6-1319P	0	0	0
ENSG00000185495.10_RP11-504P24.3	255	152	290
ENSG00000278467.1_RP11-504P24.9	14	0	12
ENSG00000229930.1_RP11-504P24.5	1	2	0
ENSG00000252484.1_RN7SKP49	0	0	0
ENSG00000143756.11_FBXO28	1536	1203	1608
ENSG00000236773.1_RP11-365O16.1	2	1	10
ENSG00000143753.12_DEGS1	3422	814	2154
ENSG00000201898.1_SNORA72	2	0	0
ENSG00000232628.5_RP11-365O16.3	0	0	0
ENSG00000237101.1_RP11-365O16.6	8	5	8
ENSG00000143748.17_NVL	598	277	523
ENSG00000221406.1_MIR320B2	0	0	0
ENSG00000229742.1_RP11-365O16.5	1	0	0
ENSG00000206887.1_RNU6-1008P	0	0	0
ENSG00000143771.11_CNIH4	1935	843	1448
ENSG00000162923.14_WDR26	12402	6310	8591
ENSG00000266618.1_MIR4742	2	0	0
ENSG00000143786.7_CNIH3	220	133	212
ENSG00000229991.1_AKR1B1P1	0	0	0
ENSG00000233384.2_RP11-100E13.1	0	2	2
ENSG00000234247.1_RP11-100E13.3	0	0	0
ENSG00000229400.1_RP11-3L21.2	13	0	2
ENSG00000225334.1_RP11-449J1.1	0	0	0
ENSG00000185842.15_DNAH14	55	4	31
ENSG00000143815.14_LBR	1926	451	2608
ENSG00000234476.1_RP11-496N12.6	6	0	0
ENSG00000282418.1_RP11-496N12.9	1	0	0
ENSG00000154380.17_ENAH	3850	2540	7577
ENSG00000227496.1_RP11-145A3.1	3	6	2
ENSG00000226349.1_RP11-145A3.2	0	0	0
ENSG00000223306.2_RNU6-1304P	0	0	0
ENSG00000143742.12_SRP9	3558	3351	3960
ENSG00000234112.2_RP11-145A3.4	15	15	38
ENSG00000143819.12_EPHX1	6349	1049	1953
ENSG00000242861.1_RP11-285F7.2	425	61	241
ENSG00000196187.11_TMEM63A	5946	907	3574
ENSG00000243709.1_LEFTY1	42	19	40
ENSG00000143811.18_PYCR2	1868	2133	1374
ENSG00000284519.1_MIR6741	0	0	0
ENSG00000248322.1_RP4-559A3.6	0	0	0
ENSG00000143768.12_LEFTY2	66	4	182
ENSG00000213032.3_NDUFA3P3	0	0	0
ENSG00000143751.9_SDE2	1381	816	1635
ENSG00000272562.1_RP11-396C23.4	7	1	8
ENSG00000163041.9_H3F3A	1917	1443	1480
ENSG00000225518.2_LINC01703	23	15	6
ENSG00000270598.1_RP11-396C23.3	0	0	0
ENSG00000182827.8_ACBD3	3550	1552	2846
ENSG00000234478.1_ACBD3-AS1	1	0	0
ENSG00000223570.2_RP11-275I14.2	0	0	0
ENSG00000185155.11_MIXL1	4	2	0
ENSG00000183814.15_LIN9	168	112	83
ENSG00000236994.1_YBX1P9	0	0	0
ENSG00000275406.1_RP11-125A15.3	1	0	0
ENSG00000143799.12_PARP1	2190	3457	1223
ENSG00000270287.1_RP11-118H4.3	0	0	0
ENSG00000229965.1_RP11-118H4.1	0	2	1
ENSG00000223282.1_RN7SKP165	0	0	0
ENSG00000177770.11_CDKN2AIPNLP1	0	0	0
ENSG00000203685.9_STUM	1528	204	478
ENSG00000143772.9_ITPKB	3189	1367	1083
ENSG00000228382.1_ITPKB-IT1	0	2	2
ENSG00000228548.1_ITPKB-AS1	0	0	0
ENSG00000238183.2_RPS27P5	0	0	0
ENSG00000143801.16_PSEN2	1196	893	493
ENSG00000163050.16_COQ8A	8589	62927	4152
ENSG00000228525.1_RP5-1087E8.2	0	5	1
ENSG00000143776.18_CDC42BPA	3202	1398	2540
ENSG00000228625.1_RP11-1B20.1	1	0	0
ENSG00000228729.1_RP11-211A18.2	0	0	0
ENSG00000236636.2_RP11-211A18.1	0	1	0
ENSG00000234277.2_LINC01641	0	1	0
ENSG00000232864.1_NUCKS1P1	0	0	0
ENSG00000224834.1_BTF3P9	1	1	0
ENSG00000237193.1_RP11-275O4.4	0	0	0
ENSG00000278180.1_FAM166AP5	0	0	0
ENSG00000237469.2_TUBB8P10	0	0	0
ENSG00000235827.2_TUBB8P9	0	0	0
ENSG00000227711.3_FAM166AP4	2	0	0
ENSG00000202264.1_RNA5SP77	0	0	0
ENSG00000181450.17_ZNF678	285	118	255
ENSG00000225934.2_RP4-566D2.1	0	1	0
ENSG00000215812.5_ZNF847P	0	0	3
ENSG00000143740.14_SNAP47	1077	594	634
ENSG00000081692.12_JMJD4	289	332	138
ENSG00000230005.2_SNAP47-AS1	0	0	0
ENSG00000185888.5_PRSS38	0	0	2
ENSG00000143816.7_WNT9A	318	961	100
ENSG00000264483.1_MIR5008	0	0	0
ENSG00000233003.4_CICP26	0	0	1
ENSG00000274886.1_SEPT14P17	0	0	0
ENSG00000154342.5_WNT3A	17	3	3
ENSG00000276255.2_RP5-881P19.7	10	4	2
ENSG00000143761.15_ARF1	18252	15059	21762
ENSG00000143793.12_C1orf35	1196	483	1428
ENSG00000162910.18_MRPL55	1390	880	1107
ENSG00000224566.2_FAM96AP2	16	5	7
ENSG00000280157.1_RP11-520H14.7	92	20	63
ENSG00000227625.2_RP11-520H14.1	0	0	1
ENSG00000143774.16_GUK1	12074	3090	14103
ENSG00000198835.3_GJC2	192	10	59
ENSG00000203684.5_IBA57-AS1	7	15	21
ENSG00000181873.12_IBA57	546	922	510
ENSG00000162913.9_C1orf145	41	2	4
ENSG00000154358.20_OBSCN	768	71558	373
ENSG00000269890.1_RP5-1139B12.2	39	31	15
ENSG00000269934.1_RP5-1139B12.3	12	4	5
ENSG00000270110.1_RP5-1139B12.4	3	56	4
ENSG00000270104.1_RP11-245P10.6	1	0	0
ENSG00000154370.15_TRIM11	1129	451	679
ENSG00000231563.1_RP11-245P10.4	1	0	0
ENSG00000162931.11_TRIM17	43	2	9
ENSG00000168148.3_HIST3H3	14	0	0
ENSG00000230841.2_RPL23AP15	2	0	0
ENSG00000181218.5_HIST3H2A	119	28	107
